2455168.357034	2009-12-02T20:25:15.544154
2455168.3732366	2009-12-02T20:50:15.718834
2455216.3441869	2010-01-19T20:10:50.862754
2455224.3346496	2010-01-27T19:55:19.517475
2455321.7275576	2010-05-05T05:19:44.912000
2455395.6859307	2010-07-18T04:17:54.146000
2455414.67468	2010-08-06T04:00:03.738000
2455416.6573042	2010-08-08T03:34:53.445000
2455431.5822544	2010-08-23T01:46:40.822000
2455433.5590125	2010-08-25T01:07:16.391000
2455434.5695803	2010-08-26T01:22:26.351000
2455439.6703456	2010-08-31T03:47:18.240000
2455440.5049816	2010-08-31T23:49:08.689000
2455499.4584045	2010-10-29T22:45:07.720000
2455511.3645072	2010-11-10T20:33:13.395000
2455684.7321648	2011-05-03T05:31:31.914904
2455761.6602719	2011-07-19T03:40:53.109785
2455767.6360285	2011-07-25T03:05:25.654824
2455781.701589	2011-08-08T04:38:40.486694
2455797.7008602	2011-08-24T04:36:35.414581
2455828.5935913	2011-09-24T02:01:14.217592
2455841.4798917	2011-10-06T23:15:07.718318
2455842.4710076	2011-10-07T23:03:11.409261
2455845.5983589	2011-10-11T02:08:19.278415
2455862.4320119	2011-10-27T22:09:29.309126
2455871.4018828	2011-11-05T21:26:39.745470
2455873.4920863	2011-11-07T23:36:42.144477
2455880.4163734	2011-11-14T21:48:12.191228
2455886.3836936	2011-11-20T21:01:38.690618
2455930.3237783	2012-01-03T19:37:17.387833
2455937.3492709	2012-01-10T20:17:13.202866
2455950.3480999	2012-01-23T20:16:47.380832
2456084.7282241	2012-06-06T05:24:36.692685
2456102.555287	2012-06-24T01:12:07.164809
2456114.6312932	2012-07-06T03:00:20.550666
2456134.696058	2012-07-26T04:32:57.111172
2456153.630705	2012-08-14T02:58:07.189183
2456154.603794	2012-08-15T02:18:58.218219
2456156.6064936	2012-08-17T02:21:03.765175
2456173.653077	2012-09-03T03:27:17.259790
2456193.5102329	2012-09-22T23:58:41.522877
2456213.5948023	2012-10-13T02:03:16.323500
2456247.4388277	2012-11-15T22:20:40.261111
2456256.3922364	2012-11-24T21:10:11.717723
2456306.3142134	2013-01-13T19:27:05.818271
2456467.6978656	2013-06-24T04:37:25.921082
2456468.6603207	2013-06-25T03:44:06.132816
2456478.7319255	2013-07-05T05:27:21.380593
2456485.6408881	2013-07-12T03:13:49.617504
2456506.6451851	2013-08-02T03:17:52.001469
2456518.6558234	2013-08-14T03:32:17.567626
2456538.6766807	2013-09-03T04:01:16.321532
2456558.6298361	2013-09-23T02:53:24.476349
2456609.5305229	2013-11-13T00:27:26.602676
2456631.4594819	2013-12-04T22:52:07.309815
2456661.3363322	2014-01-03T19:57:53.673655
2456670.3271735	2014-01-12T19:43:07.339254
2456786.6923068	2014-05-09T04:33:40.697570
2456831.7191858	2014-06-23T05:08:14.759945
2456843.6572267	2014-07-05T03:36:58.589946
2456868.7362777	2014-07-30T05:29:17.325643
2456883.5184545	2014-08-14T00:14:29.722509
2456883.6858591	2014-08-14T04:15:32.802454
2456883.6968558	2014-08-14T04:31:22.869814
2456883.7078529	2014-08-14T04:47:12.977350
2456903.5247387	2014-09-03T00:23:18.704839
2456908.5111266	2014-09-08T00:04:47.489645
2456931.5241795	2014-10-01T00:18:46.687394
2456955.5085498	2014-10-25T00:00:21.378683
2456967.4888668	2014-11-05T23:31:54.315979
2456996.3717928	2014-12-04T20:45:48.210342
2457007.3525128	2014-12-15T20:19:09.635729
2457036.342535	2015-01-13T20:05:18.393670
2457058.3438162	2015-02-04T20:09:57.403940
2457168.6698332	2015-05-26T03:59:56.358782
2457203.6555433	2015-06-30T03:35:54.563873
2457227.7388175	2015-07-24T05:30:58.980309
2457255.6787294	2015-08-21T04:04:50.927749
2457256.6717467	2015-08-22T03:54:04.202775
2457336.3192725	2015-11-09T19:27:56.334316
2457352.4109545	2015-11-25T21:41:18.412299
2457392.3423071	2016-01-04T20:06:31.939415
2457703.3639442	2016-11-10T20:19:04.073094
2457714.3601323	2016-11-21T20:18:39.419861
2457963.6824067	2017-07-29T04:08:51.772564
2458004.5540001	2017-09-08T01:04:26.131162
2458020.5913644	2017-09-24T01:45:29.530739
2458058.3946582	2017-10-31T21:15:55.548103
2458307.7104082	2018-07-08T04:54:05.666033
2458330.727494	2018-07-31T05:16:34.038568
2458355.6290297	2018-08-25T02:53:04.144077
2458395.4948806	2018-10-03T23:39:08.323378
2458669.7167387	2019-07-05T05:06:03.096995
2458724.5811829	2019-08-29T01:44:00.307940
2458789.4951841	2019-11-01T23:42:45.050885
2459052.7293562	2020-07-22T05:20:01.564645
2459098.6033005	2020-09-06T02:15:31.723418
2459172.3221138	2020-11-18T19:32:52.012561
2459767.7219471	2022-07-07T05:11:17.087904
2459830.546911	2022-09-08T00:54:18.239037
2459876.4839365	2022-10-23T23:24:05.589239
